BLZ_CRate	BLZ_CSpeed	BLZ_DSpeed	Block_Size	CL	CRate	CSpeed	Chunk_Number	Chunk_Size	Codec	DSpeed	DType	DataSet	Filename	Filter	IN_CR	IN_CS	IN_DS	Kurt	LZ4_CRate	LZ4_CSpeed	LZ4_DSpeed	Max	Mean	Median	Min	N_Streaks	Q1	Q3	Sd	Skew	Table	is_Columnar	is_Float	is_Int	is_String	is_Table	Type_Size	Bitshuffle	Blosclz	Lz4	Lz4hc	Noshuffle	Shuffle	Snappy	Zstd	CL1	Block_8	CL2	Block_16	CL3	Block_32	CL4	Block_64	CL5	Block_128	CL6	Block_256	CL7	Block_512	CL8	Block_1024	CL9	Block_2048
1.1103327050551686	3.959161481302483	7.963061968408263	32.0	1.0	1.1079560016966823	4.402230133673675	1.0	16.0	blosclz	9.84911331529907	float32	/U	WRF_India.h5	shuffle	0.0	0.0	1.0	-0.9591298891521656	1.2311908427644895	4.5325402863268565	7.84392579293836	27.146259307861328	5.7623353004455575	3.0929617881774902	-14.914064407348633	101125.0	-0.9897241443395616	12.773101806640625	8.289664268493652	0.5548586845397949	0.0	0.0	1	0	0	0.0	4	0	1	0	0	0	1	0	0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1103327050551686	3.959161481302483	7.963061968408263	64.0	3.0	1.2437790349757103	6.439618748157611	1.0	16.0	lz4	8.2591052299937	float32	/U	WRF_India.h5	shuffle	0.0	1.0	0.0	-0.9591298891521656	1.2311908427644895	4.5325402863268565	7.84392579293836	27.146259307861328	5.7623353004455575	3.0929617881774902	-14.914064407348633	101125.0	-0.9897241443395616	12.773101806640625	8.289664268493652	0.5548586845397949	0.0	0.0	1	0	0	0.0	4	0	0	1	0	0	1	0	0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1103327050551686	3.959161481302483	7.963061968408263	32.0	3.0	1.2390798859089251	6.157083803081548	1.0	16.0	lz4	8.907978795704771	float32	/U	WRF_India.h5	shuffle	0.0	1.0	1.0	-0.9591298891521656	1.2311908427644895	4.5325402863268565	7.84392579293836	27.146259307861328	5.7623353004455575	3.0929617881774902	-14.914064407348633	101125.0	-0.9897241443395616	12.773101806640625	8.289664268493652	0.5548586845397949	0.0	0.0	1	0	0	0.0	4	0	0	1	0	0	1	0	0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1103327050551686	3.959161481302483	7.963061968408263	2048.0	9.0	1.3655860467667926	0.014407164187504175	1.0	16.0	zstd	3.3201276660418464	float32	/U	WRF_India.h5	shuffle	1.0	0.0	0.0	-0.9591298891521656	1.2311908427644895	4.5325402863268565	7.84392579293836	27.146259307861328	5.7623353004455575	3.0929617881774902	-14.914064407348633	101125.0	-0.9897241443395616	12.773101806640625	8.289664268493652	0.5548586845397949	0.0	0.0	1	0	0	0.0	4	0	0	0	0	0	1	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
1.1103327050551686	3.959161481302483	7.963061968408263	256.0	8.0	1.3096343336004816	0.13401962769144565	1.0	16.0	lz4hc	8.218710810132931	float32	/U	WRF_India.h5	shuffle	1.0	0.0	1.0	-0.9591298891521656	1.2311908427644895	4.5325402863268565	7.84392579293836	27.146259307861328	5.7623353004455575	3.0929617881774902	-14.914064407348633	101125.0	-0.9897241443395616	12.773101806640625	8.289664268493652	0.5548586845397949	0.0	0.0	1	0	0	0.0	4	0	0	0	1	0	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0
1.1103327050551686	3.959161481302483	7.963061968408263	256.0	4.0	1.2516909397976266	5.825422222222223	1.0	16.0	lz4	8.554496801984076	float32	/U	WRF_India.h5	shuffle	1.0	1.0	0.0	-0.9591298891521656	1.2311908427644895	4.5325402863268565	7.84392579293836	27.146259307861328	5.7623353004455575	3.0929617881774902	-14.914064407348633	101125.0	-0.9897241443395616	12.773101806640625	8.289664268493652	0.5548586845397949	0.0	0.0	1	0	0	0.0	4	0	0	1	0	0	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1103327050551686	3.959161481302483	7.963061968408263	256.0	5.0	1.2522949612664642	5.7221688640530886	1.0	16.0	lz4	8.805051726454387	float32	/U	WRF_India.h5	shuffle	1.0	1.0	1.0	-0.9591298891521656	1.2311908427644895	4.5325402863268565	7.84392579293836	27.146259307861328	5.7623353004455575	3.0929617881774902	-14.914064407348633	101125.0	-0.9897241443395616	12.773101806640625	8.289664268493652	0.5548586845397949	0.0	0.0	1	0	0	0.0	4	0	0	1	0	0	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1095745854409709	5.625890634389218	9.007146783947224	32.0	2.0	1.1095688616275592	3.668812629457538	2.0	16.0	blosclz	9.727772005343622	float32	/U	WRF_India.h5	bitshuffle	0.0	0.0	1.0	-1.1644379197597652	1.2331413439472627	6.725779967159277	8.268483472117081	27.77483367919922	6.1446919441223145	4.290751457214356	-10.518692016601562	118220.0	-1.3607832491397858	14.215588331222534	8.50368595123291	0.3905433118343353	0.0	0.0	1	0	0	0.0	4	1	1	0	0	0	0	0	0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1095745854409709	5.625890634389218	9.007146783947224	16.0	1.0	1.2331413439472627	6.758378880066	2.0	16.0	lz4	8.31147748890298	float32	/U	WRF_India.h5	shuffle	0.0	1.0	0.0	-1.1644379197597652	1.2331413439472627	6.725779967159277	8.268483472117081	27.77483367919922	6.1446919441223145	4.290751457214356	-10.518692016601562	118220.0	-1.3607832491397858	14.215588331222534	8.50368595123291	0.3905433118343353	0.0	0.0	1	0	0	0.0	4	0	0	1	0	0	1	0	0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1095745854409709	5.625890634389218	9.007146783947224	16.0	5.0	1.2378693574355057	6.365808644973288	2.0	16.0	lz4	9.139032213080464	float32	/U	WRF_India.h5	shuffle	0.0	1.0	1.0	-1.1644379197597652	1.2331413439472627	6.725779967159277	8.268483472117081	27.77483367919922	6.1446919441223145	4.290751457214356	-10.518692016601562	118220.0	-1.3607832491397858	14.215588331222534	8.50368595123291	0.3905433118343353	0.0	0.0	1	0	0	0.0	4	0	0	1	0	0	1	0	0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
